转债代码,转债名称,上市日期,预测信息日,实际上市收盘价,上市前一日平价,发行规模亿元,正股市值亿元,正股20日波动率,债项评级,申万行业,板块,余额组,市值组,评级组,模型合理价值,规则映射后预测价,规则调整额,预测触及上限,实际触及上限,预测区间下限_80pct,预测区间上限_80pct,区间覆盖,有效分组数,全市场样本数_1日,全市场训练RMSE_1日,年份,平价分组,自动同类样本数,自动同类平均得分,自动同类平均相关系数,自动同类同行业占比,自动同类券,同类残差收益5日_pct,同类残差收益10日_pct,同类溢价变化5日_pct,同类正股超额5日_pct,同类高热度占比,目标正股5日收益_pct,目标正股20日收益_pct,基础预测价,基础预测误差,实际触及157.30,近期20只新券触顶率,近期40只新券触顶率,近期20只基础MAE,距涨幅上限空间,连续题材修正额,连续题材修正预测价,极端状态概率,极端状态修正额,自动题材修正预测价,是否启动极端修正,tmp,动态相似新券触顶率,动态相似新券预测价,组合保护预测价,网上中签率,原股东配售金额元,原股东配售率,ln发行规模,中签热度,相似概率logit,实际触顶,自适应预测价,固定权重基准预测价,自适应误差,自适应绝对误差,固定权重基准误差,选择依据样本数,选择依据未触顶样本数,选择期MAE,选择期RMSE,选择期未触顶MAE,选择_Logistic_L2,选择_Ridge_alpha,概率定价权重,概率校准窗口,价格校准窗口,模型版本,潜在首日流通筹码亿元,筹码阈值亿元,筹码斜率,单券修正上限,选择样本数,选择期原模型MAE,选择期修正后MAE,选择期原模型RMSE,选择期修正后RMSE,选择期原模型高估超10元,选择期修正后高估超10元,v2.0预测价,筹码非线性修正额,v2.1预测价,v2.1误差,v2.1绝对误差
127096.SZ,泰坦转债,2023-11-15,2023-11-14,157.3,93.48298334540188,2.955,27.8856,43.902630303499,A,机械设备,制造,0-3,0-50,A+/A,124.47111094847972,124.47111094847972,0.0,False,True,101.79007229411012,147.1521496028493,False,6.0,451.0,6.0456358408398,2023,90-100,7.0,0.6756799343095187,0.4962173827856905,1.0,斯莱转债、昌红转债、精测转债、泰林转债、永02转债、精测转2、博实转债,-1.6909940494325402,-2.2503375800115646,-3.5970651993365,2.391106966874124,0.1428571428571428,0.5451713395638658,-6.921413121845699,124.47111094847972,-32.82888905152029,True,0.2,0.25,9.717836069269223,32.82888905152029,2.1343606898490988,126.60547163832882,0.1624941032932838,0.0,124.47111094847972,False,140.78485138308315,0.3332438387582403,132.67612970575246,126.60547163832882,0.0004213376,256494600.0,0.8680020304568528,1.0834986508580615,7.772076145394576,-0.693549933186439,True,140.93983459472656,139.22010803222656,-16.36016540527345,16.36016540527345,-18.07989196777345,60,41,8.453281880696617,11.456177232711596,7.43074939262576,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.3900540000000001,0.5,24.0,6.0,60,8.453281880696617,8.344927368283807,11.456177232711596,11.400788123460066,6,6,140.93983459472656,5.959749776278846,146.8995843710054,-10.400415628994608,10.400415628994608
123238.SZ,卡倍转02,2024-02-01,2024-01-31,125.0,71.82207712711693,5.29,31.285988448,36.36075980435,A+,汽车,制造,3-10,0-50,A+/A,108.04795877154518,108.04795877154518,0.0,False,False,91.72616691160978,124.36975063148058,False,6.0,407.0,6.463039679297208,2024,<80,7.0,0.8580932898431414,0.7828636002874566,1.0,明新转债、海泰转债、联诚转债、今飞转债、纽泰转债、德尔转债、神通转债,0.6210102548180163,1.7167118972387818,-0.2290198095514988,-1.1599413119745217,0.1428571428571428,-9.090909090909085,-27.86885245901638,108.04795877154518,-16.952041228454817,False,0.1,0.225,6.935126142892699,49.25204122845483,4.149989971920229,112.19794874346542,0.0030183027997727,0.0,108.04795877154518,False,123.54978467322591,0.1795552213322231,114.68055464442442,112.19794874346542,0.0008003926,460343400.0,0.8702143667296787,1.665818245870208,7.130408200674746,-1.5193638058642525,False,105.24556732177734,111.842529296875,-19.754432678222656,19.754432678222656,-13.157470703125,84,60,7.159543657575333,10.081696583659157,6.026183335367837,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.6865659999999999,0.5,24.0,6.0,84,7.159543657575336,6.8617978338764996,10.081696583659157,9.887270394259398,6,6,105.24556732177734,0.0,105.24556732177734,-19.754432678222656,19.754432678222656
123239.SZ,锋工转债,2024-02-22,2024-02-21,122.499,78.436873747495,6.2,32.4234352917,61.776464371724,A+,机械设备,制造,3-10,0-50,A+/A,111.996094347598,111.996094347598,0.0,False,False,94.99376446772608,128.99842422746994,True,6.0,395.0,5.520980684937947,2024,<80,7.0,0.868457242743568,0.8066079025872336,1.0,光力转债、斯莱转债、隆华转债、星球转债、万讯转债、大丰转债、运机转债,-3.6926700178811145,0.818821153017081,-4.272337435601003,4.40934132904296,0.0,13.056036972848071,-17.146486028789166,111.996094347598,-10.502905652401992,False,0.1,0.225,7.383687767718484,45.30390565240201,4.217731748166538,116.21382609576456,0.0077054207108978,0.0,111.996094347598,False,128.1831760350439,0.2114215789147123,119.17976179562348,116.21382609576456,0.0007159669,560735000.0,0.9044112903225807,1.824549292051046,7.241876621122503,-1.3163777130395642,False,109.16948699951172,116.06977081298828,-13.329513000488276,13.329513000488276,-6.429229187011714,85,61,7.307718822524125,10.248700643528064,6.25123660328349,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.5926499999999996,0.5,24.0,6.0,85,7.307718822524127,7.013475890868808,10.248700643528064,10.059773907979242,6,6,109.16948699951172,0.0,109.16948699951172,-13.329513000488276,13.329513000488276
113683.SH,伟24转债,2024-04-22,2024-04-19,157.3,112.417943107221,2.85,350.3051884545,20.305847604788,AA,环保,周期,0-3,300+,AA/AA-,130.82796426241103,130.82796426241103,0.0,False,True,114.55646105389276,147.0994674709293,False,6.0,396.0,7.21991475959607,2024,110-120,7.0,0.6389124697788768,0.4989506649437353,1.0,伟22转债、旺能转债、惠城转债、天源转债、海环转债、盈峰转债、联泰转债,-1.4619644548525597,-1.6251212755087678,-4.514149428073857,5.979950294200792,0.1428571428571428,7.254697286012535,9.192348565356,130.82796426241103,-26.472035737588985,True,0.0,0.175,5.254137354202954,26.472035737588985,0.2283286216535009,131.05629288406453,0.003897748012874,0.0,130.82796426241103,False,138.2716332962201,0.201903545079306,134.836562658075,131.05629288406453,0.0003267219,258963000.0,0.9086421052631579,1.0473189942805592,8.026401207627801,-1.3744393772188888,True,140.977294921875,142.60018920898438,-16.32270507812501,16.32270507812501,-14.699810791015636,90,66,7.170356799994573,10.0755457976698,6.14396128614021,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.26036999999999993,1.0,12.0,6.0,90,7.170356799994576,6.346293357141306,10.0755457976698,9.14648819571959,6,6,140.977294921875,6.0,146.977294921875,-10.322705078125011,10.322705078125011
113686.SH,泰瑞转债,2024-07-24,2024-07-23,157.3,93.24487334137515,3.378,22.7492988633,58.962088519052,AA-,机械设备,制造,3-10,0-50,AA/AA-,113.46094202610206,113.46094202610206,0.0,False,True,98.51121848164904,128.41066557055507,False,6.0,366.0,9.462103280500964,2024,90-100,7.0,0.7626208292027792,0.6727130383611067,1.0,拓斯转债、弘亚转债、智能转债、泰福转债、光力转债、博实转债、耐普转债,0.0987468136211811,0.3869976500104991,-0.0964695430914004,-0.2174688327553742,0.1428571428571428,-1.5286624203821542,-3.3749999999999947,113.46094202610206,-43.83905797389795,True,0.05,0.2,5.731386040836118,43.83905797389795,1.3024940598485035,114.76343608595056,0.0153302186443103,0.0,113.46094202610206,False,126.68384981895966,0.2327146861832938,121.11243649032724,114.76343608595056,0.0005672134,295928000.0,0.8760449970396684,1.2172838183856083,7.474774958201722,-1.193045538514013,True,112.14720916748047,119.35063934326172,-45.15279083251954,45.15279083251954,-37.94936065673829,95,70,7.076273272383839,9.966197156685773,5.944179838344029,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.4187200000000001,0.75,24.0,15.0,95,7.076273272383841,6.148081505729046,9.966197156685775,9.149376246143797,6,6,112.14720916748047,13.988898425964486,126.13610759344496,-31.16389240655505,31.16389240655505
123243.SZ,严牌转债,2024-07-26,2024-07-25,128.0,91.42480211081794,4.678889,14.1929172,49.47982024489,A+,环保,周期,3-10,0-50,A+/A,111.31217533377423,111.31217533377423,0.0,False,False,96.3624517893212,126.26189887822726,False,6.0,359.0,10.280955104780412,2024,90-100,7.0,0.6696437757146957,0.5093222471023625,1.0,海环转债、维尔转债、旺能转债、洪城转债、中环转2、联泰转债、华宏转债,-0.5052799947989788,-0.372607643640054,-3.304210413920195,4.3606069547095565,0.1428571428571428,2.363367799113747,-6.854838709677424,111.31217533377423,-16.687824666225765,False,0.1,0.2,7.631334189684286,45.98782466622578,2.121119276561698,113.43329461033592,0.0092223849685284,0.0,111.31217533377423,False,124.99528364896535,0.2502568098332058,119.94375005287807,113.43329461033592,0.0010683368,391370500.0,0.8364603220978314,1.5430606885849452,6.841652232353081,-1.0972431048368705,False,111.93272399902344,115.75543975830078,-16.067276000976562,16.067276000976562,-12.244560241699219,96,70,7.571108518600465,10.609369380017016,6.1603183018275685,0.3,0.1,1.0,0,0,v2.1_极低筹码非线性修正,0.7651839999999998,0.75,18.0,15.0,96,7.571108518600467,6.776037777734935,10.609369380017014,9.632478813603447,7,7,111.93272399902344,0.0,111.93272399902344,-16.067276000976562,16.067276000976562
123242.SZ,赛龙转债,2024-07-29,2024-07-26,157.3,93.18120076066285,2.5,16.38854,82.867367455836,A+,基础化工,周期,0-3,0-50,A+/A,114.57543270625963,114.57543270625963,0.0,False,True,98.35677281018717,130.7940926023321,False,6.0,362.0,8.728787663971902,2024,90-100,7.0,0.6312525189078565,0.3748803077199452,1.0,福新转债、利民转债、聚隆转债、蓝晓转02、金丹转债、锦鸡转债、阳谷转债,0.0033476683200318,1.003931769976015,-0.0633090232374975,-0.3247490676021425,0.1428571428571428,1.5393724097098715,-5.065042900636607,114.57543270625963,-42.72456729374038,True,0.1,0.2,8.115530892899443,42.72456729374038,1.8482672697718456,116.42369997603149,0.0562469767757164,0.0,114.57543270625963,False,129.34670186692762,0.253104741049467,122.68577561225916,116.42369997603149,0.0008267646,192628800.0,0.7705152,0.9162907318741551,7.09799054674817,-1.0821215604090162,True,120.7503890991211,122.43414306640625,-36.54961090087892,36.54961090087892,-34.86585693359376,98,72,7.615441289784958,10.630859818816262,6.259848746405709,0.3,0.1,1.0,0,0,v2.1_极低筹码非线性修正,0.5737120000000001,0.75,18.0,15.0,98,7.615441289784959,6.836596482406479,10.630859818816262,9.677017226415593,7,7,120.7503890991211,4.823022209144138,125.57341130826524,-31.726588691734776,31.726588691734776
123244.SZ,松原转债,2024-08-22,2024-08-21,157.3,88.85017421602788,4.1,57.6781185,35.465753152342,A+,汽车,制造,3-10,50-300,A+/A,107.54293254666396,107.54293254666396,0.0,False,True,90.80226456799238,124.28360052533554,False,6.0,364.0,9.324006646221868,2024,80-90,7.0,0.6547917029744672,0.415037624878719,1.0,豪能转债、岱美转债、拓普转债、文灿转债、立中转债、汽模转2、海泰转债,-0.9768472216198676,-0.3387594787797945,-2.137512810970452,0.7418665126663948,0.0,-0.1175088131609936,-1.2393493415956636,107.54293254666396,-49.75706745333605,True,0.15,0.15,10.549673323949886,49.75706745333605,1.204611413680733,108.7475439603447,0.0036454559240393,0.0,107.54293254666396,False,123.33658433540856,0.1548092055706174,113.3200716096449,108.7475439603447,0.0006027766,366697800.0,0.8943848780487805,1.410986973710262,7.413963910810793,-1.6973689671961147,True,110.18440246582031,113.55023956298828,-47.1155975341797,47.1155975341797,-43.74976043701173,102,75,7.784759658514285,11.064424477609098,6.158556501464844,0.3,0.1,1.0,0,0,v2.1_极低筹码非线性修正,0.4330219999999998,0.75,18.0,15.0,102,7.784759658514287,6.954691131354121,11.064424477609098,10.00682903293014,7,7,110.18440246582031,9.887124087080597,120.0715265529009,-37.228473447099105,37.228473447099105
123245.SZ,集智转债,2024-08-28,2024-08-27,157.3,80.62871707731522,2.546,15.396576,61.972227073855,A,机械设备,制造,0-3,0-50,A+/A,104.80258889407926,104.80258889407926,0.0,False,True,87.80025901420733,121.8049187739512,False,6.0,366.0,10.218986313173938,2024,80-90,7.0,0.7384059128959857,0.5484669518493017,1.0,智能转债、精测转2、锋工转债、万讯转债、华兴转债、泰林转债、精测转债,0.0174577897374635,0.5442244143918463,0.038093870657498,-0.5173881684624959,0.1428571428571428,-5.099999999999993,-10.175106483672502,104.80258889407926,-52.49741110592075,True,0.2,0.175,12.810918312538892,52.49741110592075,1.792221120012325,106.5948100140916,0.0137105823608205,0.0,104.80258889407926,False,127.09509885520288,0.3039966752465612,116.77186772051812,106.5948100140916,0.0011835297,171443000.0,0.673381775333857,0.9345235001352147,6.739254034268077,-0.8283376726101336,True,114.40919494628906,114.54650115966797,-42.89080505371095,42.89080505371095,-42.75349884033204,103,75,8.236616662479143,11.830685323656185,6.116610084635417,0.3,1.0,0.9,0,0,v2.1_极低筹码非线性修正,0.83157,0.75,18.0,15.0,103,8.236616662479145,7.260192616618673,11.830685323656185,10.47382303571461,8,8,114.40919494628906,0.0,114.40919494628906,-42.89080505371095,42.89080505371095
123250.SZ,嘉益转债,2024-11-26,2024-11-25,125.0,84.62731581214993,3.979384,102.01003953,45.608355958379,A+,轻工制造,制造,3-10,50-300,A+/A,110.22603297317684,110.22603297317684,0.0,False,False,87.50566006573857,132.94640588061512,True,6.0,409.0,5.607474561561136,2024,80-90,7.0,0.5340617848055681,0.1383518754132379,1.0,松霖转债、鹤21转债、家联转债、海顺转债、欧22转债、合兴转债、特纸转债,-0.6231315811937248,-0.1763687364728171,-0.669534597723004,-0.0243935219407243,0.0,-1.0079629069650209,-20.542071197411005,110.22603297317684,-14.773967026823158,False,0.3,0.2,19.09603938592399,47.07396702682317,3.7626813311774807,113.98871430435432,0.01142567705068,0.0,110.22603297317684,False,126.97272406657592,0.2353130456771616,118.53387188806788,113.98871430435432,0.0031602554,127531400.0,0.3204802552354837,1.3811270334482884,5.757102431864491,-1.1785498031034627,False,108.5030746459961,112.66812896728516,-16.496925354003906,16.496925354003906,-12.331871032714844,117,85,8.27030544444027,12.269181147141893,6.060400354721966,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,2.7040699999999998,0.5,24.0,15.0,117,8.270305444440275,7.729211822593297,12.269181147141893,11.723060534584198,9,9,108.5030746459961,0.0,108.5030746459961,-16.496925354003906,16.496925354003906
