转债代码,转债名称,上市日期,预测信息日,实际上市收盘价,上市前一日平价,发行规模亿元,正股市值亿元,正股20日波动率,债项评级,申万行业,板块,余额组,市值组,评级组,模型合理价值,规则映射后预测价,规则调整额,预测触及上限,实际触及上限,预测区间下限_80pct,预测区间上限_80pct,区间覆盖,有效分组数,全市场样本数_1日,全市场训练RMSE_1日,年份,平价分组,自动同类样本数,自动同类平均得分,自动同类平均相关系数,自动同类同行业占比,自动同类券,同类残差收益5日_pct,同类残差收益10日_pct,同类溢价变化5日_pct,同类正股超额5日_pct,同类高热度占比,目标正股5日收益_pct,目标正股20日收益_pct,基础预测价,基础预测误差,实际触及157.30,近期20只新券触顶率,近期40只新券触顶率,近期20只基础MAE,距涨幅上限空间,连续题材修正额,连续题材修正预测价,极端状态概率,极端状态修正额,自动题材修正预测价,是否启动极端修正,tmp,动态相似新券触顶率,动态相似新券预测价,组合保护预测价,网上中签率,原股东配售金额元,原股东配售率,ln发行规模,中签热度,相似概率logit,实际触顶,自适应预测价,固定权重基准预测价,自适应误差,自适应绝对误差,固定权重基准误差,选择依据样本数,选择依据未触顶样本数,选择期MAE,选择期RMSE,选择期未触顶MAE,选择_Logistic_L2,选择_Ridge_alpha,概率定价权重,概率校准窗口,价格校准窗口,模型版本,潜在首日流通筹码亿元,筹码阈值亿元,筹码斜率,单券修正上限,选择样本数,选择期原模型MAE,选择期修正后MAE,选择期原模型RMSE,选择期修正后RMSE,选择期原模型高估超10元,选择期修正后高估超10元,v2.0预测价,筹码非线性修正额,v2.1预测价,v2.1误差,v2.1绝对误差,误差方向
123238.SZ,卡倍转02,2024-02-01,2024-01-31,125.0,71.82207712711693,5.29,31.285988448,36.36075980435,A+,汽车,制造,3-10,0-50,A+/A,108.04795877154518,108.04795877154518,0.0,False,False,91.72616691160978,124.36975063148058,False,6.0,407.0,6.463039679297208,2024,<80,7.0,0.8580932898431414,0.7828636002874566,1.0,明新转债、海泰转债、联诚转债、今飞转债、纽泰转债、德尔转债、神通转债,0.6210102548180163,1.7167118972387818,-0.2290198095514988,-1.1599413119745217,0.1428571428571428,-9.090909090909085,-27.86885245901638,108.04795877154518,-16.952041228454817,False,0.1,0.225,6.935126142892699,49.25204122845483,4.149989971920229,112.19794874346542,0.0030183027997727,0.0,108.04795877154518,False,123.54978467322591,0.1795552213322231,114.68055464442442,112.19794874346542,0.0008003926,460343400.0,0.8702143667296787,1.665818245870208,7.130408200674746,-1.5193638058642525,False,105.24556732177734,111.842529296875,-19.754432678222656,19.754432678222656,-13.157470703125,84,60,7.159543657575333,10.081696583659157,6.026183335367837,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.6865659999999999,0.5,24.0,6.0,84,7.159543657575336,6.8617978338764996,10.081696583659157,9.887270394259398,6,6,105.24556732177734,0.0,105.24556732177734,-19.754432678222656,19.754432678222656,低估
123239.SZ,锋工转债,2024-02-22,2024-02-21,122.499,78.436873747495,6.2,32.4234352917,61.776464371724,A+,机械设备,制造,3-10,0-50,A+/A,111.996094347598,111.996094347598,0.0,False,False,94.99376446772608,128.99842422746994,True,6.0,395.0,5.520980684937947,2024,<80,7.0,0.868457242743568,0.8066079025872336,1.0,光力转债、斯莱转债、隆华转债、星球转债、万讯转债、大丰转债、运机转债,-3.6926700178811145,0.818821153017081,-4.272337435601003,4.40934132904296,0.0,13.056036972848071,-17.146486028789166,111.996094347598,-10.502905652401992,False,0.1,0.225,7.383687767718484,45.30390565240201,4.217731748166538,116.21382609576456,0.0077054207108978,0.0,111.996094347598,False,128.1831760350439,0.2114215789147123,119.17976179562348,116.21382609576456,0.0007159669,560735000.0,0.9044112903225807,1.824549292051046,7.241876621122503,-1.3163777130395642,False,109.16948699951172,116.06977081298828,-13.329513000488276,13.329513000488276,-6.429229187011714,85,61,7.307718822524125,10.248700643528064,6.25123660328349,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.5926499999999996,0.5,24.0,6.0,85,7.307718822524127,7.013475890868808,10.248700643528064,10.059773907979242,6,6,109.16948699951172,0.0,109.16948699951172,-13.329513000488276,13.329513000488276,低估
113683.SH,伟24转债,2024-04-22,2024-04-19,157.3,112.417943107221,2.85,350.3051884545,20.305847604788,AA,环保,周期,0-3,300+,AA/AA-,130.82796426241103,130.82796426241103,0.0,False,True,114.55646105389276,147.0994674709293,False,6.0,396.0,7.21991475959607,2024,110-120,7.0,0.6389124697788768,0.4989506649437353,1.0,伟22转债、旺能转债、惠城转债、天源转债、海环转债、盈峰转债、联泰转债,-1.4619644548525597,-1.6251212755087678,-4.514149428073857,5.979950294200792,0.1428571428571428,7.254697286012535,9.192348565356,130.82796426241103,-26.472035737588985,True,0.0,0.175,5.254137354202954,26.472035737588985,0.2283286216535009,131.05629288406453,0.003897748012874,0.0,130.82796426241103,False,138.2716332962201,0.201903545079306,134.836562658075,131.05629288406453,0.0003267219,258963000.0,0.9086421052631579,1.0473189942805592,8.026401207627801,-1.3744393772188888,True,140.977294921875,142.60018920898438,-16.32270507812501,16.32270507812501,-14.699810791015636,90,66,7.170356799994573,10.0755457976698,6.14396128614021,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.26036999999999993,1.0,12.0,6.0,90,7.170356799994576,6.346293357141306,10.0755457976698,9.14648819571959,6,6,140.977294921875,6.0,146.977294921875,-10.322705078125011,10.322705078125011,低估
113686.SH,泰瑞转债,2024-07-24,2024-07-23,157.3,93.24487334137515,3.378,22.7492988633,58.962088519052,AA-,机械设备,制造,3-10,0-50,AA/AA-,113.46094202610206,113.46094202610206,0.0,False,True,98.51121848164904,128.41066557055507,False,6.0,366.0,9.462103280500964,2024,90-100,7.0,0.7626208292027792,0.6727130383611067,1.0,拓斯转债、弘亚转债、智能转债、泰福转债、光力转债、博实转债、耐普转债,0.0987468136211811,0.3869976500104991,-0.0964695430914004,-0.2174688327553742,0.1428571428571428,-1.5286624203821542,-3.3749999999999947,113.46094202610206,-43.83905797389795,True,0.05,0.2,5.731386040836118,43.83905797389795,1.3024940598485035,114.76343608595056,0.0153302186443103,0.0,113.46094202610206,False,126.68384981895966,0.2327146861832938,121.11243649032724,114.76343608595056,0.0005672134,295928000.0,0.8760449970396684,1.2172838183856083,7.474774958201722,-1.193045538514013,True,112.14720916748047,119.35063934326172,-45.15279083251954,45.15279083251954,-37.94936065673829,95,70,7.076273272383839,9.966197156685773,5.944179838344029,0.3,0.1,1.0,60,60,v2.1_极低筹码非线性修正,0.4187200000000001,0.75,24.0,15.0,95,7.076273272383841,6.148081505729046,9.966197156685775,9.149376246143797,6,6,112.14720916748047,13.988898425964486,126.13610759344496,-31.16389240655505,31.16389240655505,低估
123243.SZ,严牌转债,2024-07-26,2024-07-25,128.0,91.42480211081794,4.678889,14.1929172,49.47982024489,A+,环保,周期,3-10,0-50,A+/A,111.31217533377423,111.31217533377423,0.0,False,False,96.3624517893212,126.26189887822726,False,6.0,359.0,10.280955104780412,2024,90-100,7.0,0.6696437757146957,0.5093222471023625,1.0,海环转债、维尔转债、旺能转债、洪城转债、中环转2、联泰转债、华宏转债,-0.5052799947989788,-0.372607643640054,-3.304210413920195,4.3606069547095565,0.1428571428571428,2.363367799113747,-6.854838709677424,111.31217533377423,-16.687824666225765,False,0.1,0.2,7.631334189684286,45.98782466622578,2.121119276561698,113.43329461033592,0.0092223849685284,0.0,111.31217533377423,False,124.99528364896535,0.2502568098332058,119.94375005287807,113.43329461033592,0.0010683368,391370500.0,0.8364603220978314,1.5430606885849452,6.841652232353081,-1.0972431048368705,False,111.93272399902344,115.75543975830078,-16.067276000976562,16.067276000976562,-12.244560241699219,96,70,7.571108518600465,10.609369380017016,6.1603183018275685,0.3,0.1,1.0,0,0,v2.1_极低筹码非线性修正,0.7651839999999998,0.75,18.0,15.0,96,7.571108518600467,6.776037777734935,10.609369380017014,9.632478813603447,7,7,111.93272399902344,0.0,111.93272399902344,-16.067276000976562,16.067276000976562,低估
123242.SZ,赛龙转债,2024-07-29,2024-07-26,157.3,93.18120076066285,2.5,16.38854,82.867367455836,A+,基础化工,周期,0-3,0-50,A+/A,114.57543270625963,114.57543270625963,0.0,False,True,98.35677281018717,130.7940926023321,False,6.0,362.0,8.728787663971902,2024,90-100,7.0,0.6312525189078565,0.3748803077199452,1.0,福新转债、利民转债、聚隆转债、蓝晓转02、金丹转债、锦鸡转债、阳谷转债,0.0033476683200318,1.003931769976015,-0.0633090232374975,-0.3247490676021425,0.1428571428571428,1.5393724097098715,-5.065042900636607,114.57543270625963,-42.72456729374038,True,0.1,0.2,8.115530892899443,42.72456729374038,1.8482672697718456,116.42369997603149,0.0562469767757164,0.0,114.57543270625963,False,129.34670186692762,0.253104741049467,122.68577561225916,116.42369997603149,0.0008267646,192628800.0,0.7705152,0.9162907318741551,7.09799054674817,-1.0821215604090162,True,120.7503890991211,122.43414306640625,-36.54961090087892,36.54961090087892,-34.86585693359376,98,72,7.615441289784958,10.630859818816262,6.259848746405709,0.3,0.1,1.0,0,0,v2.1_极低筹码非线性修正,0.5737120000000001,0.75,18.0,15.0,98,7.615441289784959,6.836596482406479,10.630859818816262,9.677017226415593,7,7,120.7503890991211,4.823022209144138,125.57341130826524,-31.726588691734776,31.726588691734776,低估
123244.SZ,松原转债,2024-08-22,2024-08-21,157.3,88.85017421602788,4.1,57.6781185,35.465753152342,A+,汽车,制造,3-10,50-300,A+/A,107.54293254666396,107.54293254666396,0.0,False,True,90.80226456799238,124.28360052533554,False,6.0,364.0,9.324006646221868,2024,80-90,7.0,0.6547917029744672,0.415037624878719,1.0,豪能转债、岱美转债、拓普转债、文灿转债、立中转债、汽模转2、海泰转债,-0.9768472216198676,-0.3387594787797945,-2.137512810970452,0.7418665126663948,0.0,-0.1175088131609936,-1.2393493415956636,107.54293254666396,-49.75706745333605,True,0.15,0.15,10.549673323949886,49.75706745333605,1.204611413680733,108.7475439603447,0.0036454559240393,0.0,107.54293254666396,False,123.33658433540856,0.1548092055706174,113.3200716096449,108.7475439603447,0.0006027766,366697800.0,0.8943848780487805,1.410986973710262,7.413963910810793,-1.6973689671961147,True,110.18440246582031,113.55023956298828,-47.1155975341797,47.1155975341797,-43.74976043701173,102,75,7.784759658514285,11.064424477609098,6.158556501464844,0.3,0.1,1.0,0,0,v2.1_极低筹码非线性修正,0.4330219999999998,0.75,18.0,15.0,102,7.784759658514287,6.954691131354121,11.064424477609098,10.00682903293014,7,7,110.18440246582031,9.887124087080597,120.0715265529009,-37.228473447099105,37.228473447099105,低估
123245.SZ,集智转债,2024-08-28,2024-08-27,157.3,80.62871707731522,2.546,15.396576,61.972227073855,A,机械设备,制造,0-3,0-50,A+/A,104.80258889407926,104.80258889407926,0.0,False,True,87.80025901420733,121.8049187739512,False,6.0,366.0,10.218986313173938,2024,80-90,7.0,0.7384059128959857,0.5484669518493017,1.0,智能转债、精测转2、锋工转债、万讯转债、华兴转债、泰林转债、精测转债,0.0174577897374635,0.5442244143918463,0.038093870657498,-0.5173881684624959,0.1428571428571428,-5.099999999999993,-10.175106483672502,104.80258889407926,-52.49741110592075,True,0.2,0.175,12.810918312538892,52.49741110592075,1.792221120012325,106.5948100140916,0.0137105823608205,0.0,104.80258889407926,False,127.09509885520288,0.3039966752465612,116.77186772051812,106.5948100140916,0.0011835297,171443000.0,0.673381775333857,0.9345235001352147,6.739254034268077,-0.8283376726101336,True,114.40919494628906,114.54650115966797,-42.89080505371095,42.89080505371095,-42.75349884033204,103,75,8.236616662479143,11.830685323656185,6.116610084635417,0.3,1.0,0.9,0,0,v2.1_极低筹码非线性修正,0.83157,0.75,18.0,15.0,103,8.236616662479145,7.260192616618673,11.830685323656185,10.47382303571461,8,8,114.40919494628906,0.0,114.40919494628906,-42.89080505371095,42.89080505371095,低估
118049.SH,汇成转债,2024-09-02,2024-08-30,101.889,91.42857142857144,11.487,58.7736709824,31.041493594762,AA-,电子,科技,10-20,50-300,AA/AA-,112.07364457065157,112.07364457065157,0.0,False,False,91.82285347197384,132.32443566932932,True,6.0,378.0,9.75334315601694,2024,90-100,7.0,0.8029771377160785,0.7164051079820084,1.0,景23转债、南电转债、雅创转债、春23转债、强力转债、春秋转债、福立转债,-0.7320451427854138,1.8507428449150904,-0.5680882979770026,1.2621282338340922,0.1428571428571428,5.074626865671639,-6.754966887417213,112.07364457065157,10.184644570651573,False,0.3,0.2,16.625482042438865,45.226355429348445,2.1245127530911327,114.1981573237427,0.0023496569515891,0.0,112.07364457065157,False,122.93044085758766,0.170068189835186,117.8423178711856,114.1981573237427,0.0058888314,734097000.0,0.6390676416819013,2.4412159611632673,5.134697705078037,-1.5851440676856463,False,112.6277084350586,112.57620239257812,10.738708435058598,10.738708435058598,10.68720239257813,105,75,8.362699238513763,12.620244430099618,5.885821556803385,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,4.14603,0.75,24.0,15.0,105,8.362699238513768,7.0712433572361775,12.620244430099618,10.895718993543763,6,6,112.6277084350586,0.0,112.6277084350586,10.738708435058598,10.738708435058598,高估
123247.SZ,万凯转债,2024-09-05,2024-09-04,93.696,87.33624454148472,27.0,51.50931,25.623035470798,AA,基础化工,周期,20-50,50-300,AA/AA-,107.85368160690244,107.85368160690244,0.0,False,False,85.13330869946417,130.5740545143407,True,6.0,374.0,9.781269329497714,2024,80-90,7.0,0.6422154382627729,0.4156870742608223,1.0,鹿山转债、百川转2、合顺转债、永和转债、利民转债、优彩转债、三房转债,-0.9768640053340985,-3.957201995974344,-0.5458290461957009,0.7275053163211087,0.0,-0.1996007984031877,-11.504424778761068,107.85368160690244,14.157681606902443,False,0.35,0.175,19.628171630438903,49.44631839309757,2.648185539758334,110.50186714666076,1.947068169436024e-05,0.0,107.85368160690244,False,120.49711272779744,0.1354092865825218,112.87529963020862,110.50186714666076,0.0212905318,1109039600.0,0.4107554074074074,3.295836866004329,3.8494928215253994,-1.8539542868676133,False,108.01683044433594,105.17910766601562,14.32083044433594,14.32083044433594,11.483107666015627,108,77,8.348924862896954,12.52026786045808,5.982421954266436,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,15.909604000000002,0.75,24.0,15.0,108,8.348924862896958,7.0526891317413,12.52026786045808,10.823642332390174,7,7,108.01683044433594,0.0,108.01683044433594,14.32083044433594,14.32083044433594,高估
123248.SZ,恒辉转债,2024-09-12,2024-09-11,113.3,90.9090909090909,5.0,24.133155364,27.414984249261,AA-,纺织服饰,消费,3-10,0-50,AA/AA-,110.99647219874824,110.99647219874824,0.0,False,False,88.27609929130996,133.7168451061865,True,6.0,383.0,10.389508537872558,2024,90-100,7.0,0.6284890078875306,0.4258505291022438,1.0,维格转债、孚日转债、智尚转债、富春转债、盛泰转债、太平转债、鲁泰转债,0.7752124247823314,0.3740096736116529,1.4611425508000035,-0.6921882087363662,0.2857142857142857,2.722772277227725,-10.512129380053905,110.99647219874824,-2.303527801251761,False,0.35,0.175,20.152134570246307,46.303527801251775,2.800135982298876,113.7966081810471,0.0174358339003863,0.0,110.99647219874824,False,127.82625670765336,0.1727154605750493,116.99447354658034,113.7966081810471,0.0008900236,434767300.0,0.8695346,1.6094379124341003,7.024262578735722,-1.5665031941571288,False,122.8967514038086,118.95194244384766,9.596751403808597,9.596751403808597,5.651942443847659,110,79,8.354132095614345,12.48400983825702,6.0495839975091465,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,0.6523269999999998,0.75,24.0,15.0,110,8.354132095614348,7.08146428684334,12.48400983825702,10.815023554427679,8,8,122.8967514038086,3.3486536780972167,126.24540508190582,12.945405081905818,12.945405081905818,高估
113691.SH,和邦转债,2024-11-19,2024-11-18,101.969,103.0,46.0,181.9237546968,35.163954800043,AA,基础化工,周期,20-50,50-300,AA/AA-,116.87020687743984,116.87020687743984,0.0,False,False,90.71906424450852,143.02134951037115,True,6.0,399.0,5.844098375780343,2024,100-110,7.0,0.7542533802423367,0.6808977251841837,1.0,川恒转债、金能转债、神马转债、万凯转债、裕兴转债、会通转债、天业转债,-0.8349040309462229,-1.2901008663354432,-0.2641920090401495,2.6921753880279065,0.0,-6.363636363636371,6.185567010309279,116.87020687743984,14.901206877439847,False,0.35,0.2,20.64621197513363,40.42979312256017,-1.3807338048358502,115.489473072604,1.6636115853683768e-07,0.0,116.87020687743984,False,124.38941778218532,0.1412294506797243,121.1526149827854,115.489473072604,0.0232067878,2587759000.0,0.5625563043478261,3.828641396489095,3.7633104655161413,-1.8051158950601598,False,115.50128936767578,113.59552001953125,13.532289367675787,13.532289367675787,11.626520019531256,115,83,8.242816032608696,12.297455175736095,5.969061890383801,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,20.12241,0.5,24.0,15.0,115,8.2428160326087,7.692312086903513,12.297455175736095,11.742949960173592,8,8,115.50128936767578,0.0,115.50128936767578,13.532289367675787,13.532289367675787,高估
123250.SZ,嘉益转债,2024-11-26,2024-11-25,125.0,84.62731581214993,3.979384,102.01003953,45.608355958379,A+,轻工制造,制造,3-10,50-300,A+/A,110.22603297317684,110.22603297317684,0.0,False,False,87.50566006573857,132.94640588061512,True,6.0,409.0,5.607474561561136,2024,80-90,7.0,0.5340617848055681,0.1383518754132379,1.0,松霖转债、鹤21转债、家联转债、海顺转债、欧22转债、合兴转债、特纸转债,-0.6231315811937248,-0.1763687364728171,-0.669534597723004,-0.0243935219407243,0.0,-1.0079629069650209,-20.542071197411005,110.22603297317684,-14.773967026823158,False,0.3,0.2,19.09603938592399,47.07396702682317,3.7626813311774807,113.98871430435432,0.01142567705068,0.0,110.22603297317684,False,126.97272406657592,0.2353130456771616,118.53387188806788,113.98871430435432,0.0031602554,127531400.0,0.3204802552354837,1.3811270334482884,5.757102431864491,-1.1785498031034627,False,108.5030746459961,112.66812896728516,-16.496925354003906,16.496925354003906,-12.331871032714844,117,85,8.27030544444027,12.269181147141893,6.060400354721966,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,2.7040699999999998,0.5,24.0,15.0,117,8.270305444440275,7.729211822593297,12.269181147141893,11.723060534584198,9,9,108.5030746459961,0.0,108.5030746459961,-16.496925354003906,16.496925354003906,低估
113699.SH,金25转债,2025-10-27,2025-10-24,154.193,104.16010085092972,20.0,412.318637507,67.614157292788,AA,有色金属,周期,20-50,300+,AA/AA-,142.71369745083467,142.71369745083467,0.0,False,False,126.25734413326336,157.3,True,6.0,328.0,5.013040030834382,2025,100-110,7.0,0.760039874074586,0.6916216898866486,1.0,金诚转债、金田转债、中金转债、万顺转2、国城转债、恒邦转债、银邦转债,0.5052279711782326,0.9082188199358404,0.7072030690231838,-0.9962438958137976,0.2857142857142857,6.065468549422337,6.612903225806432,142.71369745083467,-11.47930254916534,False,0.25,0.15,7.381430396264309,14.58630254916534,0.874181903223153,143.58787935405783,0.0029917995153683,0.0,142.71369745083467,False,146.22053991100535,0.1603283409763406,144.46764571734963,143.58787935405783,0.0062553277,1472353000.0,0.7361765,2.995732273553991,5.074321746347645,-1.6557870897171683,False,142.8534393310547,141.13973999023438,-11.339560668945325,11.339560668945325,-13.053260009765637,150,113,7.332724302571613,11.192251579116824,5.32342198248669,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,5.27647,0.5,24.0,15.0,150,7.332724302571616,6.734772120997675,11.192251579116823,10.564017710875047,9,9,142.8534393310547,0.0,142.8534393310547,-11.339560668945325,11.339560668945325,低估
118066.SH,统联转债,2026-03-20,2026-03-19,131.182,72.63345195729536,5.76,66.0707731814,76.113450757796,AA-,电子,科技,3-10,50-300,AA/AA-,139.36205683935287,139.36205683935287,0.0,False,False,128.10670068242476,150.617412996281,True,6.0,276.0,6.458525118691084,2026,<80,7.0,0.8482640812342004,0.8192019199075666,1.0,国微转债、茂莱转债、颀中转债、海能转债、韦尔转债、国力转债、芯海转债,-1.4509937720267885,-0.8557824939156081,-1.6886382225890024,0.3732411410725333,0.0,-14.441416893732972,-28.82301656495205,139.36205683935287,8.180056839352886,False,0.6,0.425,7.3767691948541,17.937943160647137,3.248531593518659,142.61058843287154,0.9865495749891192,17.937943160647137,157.3,True,151.66379598684125,0.3767921081466667,144.43121340383937,157.3,0.0022918419,366975000.0,0.6371093750000001,1.7509374747078,6.0783994615664,-0.5031865598385747,False,151.8485870361328,146.62881469726562,20.666587036132825,20.666587036132825,15.446814697265637,170,121,6.883314764045263,10.657908983593657,5.348618472264818,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,2.0902499999999993,0.5,24.0,15.0,170,6.883314764045268,6.348928407400293,10.657908983593652,10.075871349817632,9,9,151.8485870361328,0.0,151.8485870361328,20.666587036132825,20.666587036132825,高估
127113.SZ,长高转债,2026-03-30,2026-03-27,146.5,102.63396911898276,7.586007000000001,70.097525605,58.728603899407,AA-,电力设备,制造,3-10,50-300,AA/AA-,154.02098785314962,154.02098785314962,0.0,False,False,142.7656316962215,157.3,True,6.0,262.0,5.543013212996106,2026,100-110,7.0,0.7312540153508894,0.6124672242287197,1.0,锂科转债、翔丰转债、华辰转债、电化转债、帝尔转债、煜邦转债、科利转债,-0.8997296050701307,0.7459197214811721,-2.2866761259849966,2.070121728989005,0.0,2.447869446962847,1.8935978358882053,154.02098785314962,7.52098785314962,False,0.65,0.45,7.914168189278305,3.279012146850391,0.8200607520228579,154.8410486051725,0.9977689865484995,3.279012146850391,157.3,True,156.7538725756545,0.4672453394040713,155.1700652107485,157.3,0.0020355622,573242000.0,0.7556570933825923,2.0263053660187205,6.19698323288556,-0.1312065473633513,False,157.3000030517578,156.4249725341797,10.800003051757812,10.800003051757812,9.924972534179688,172,122,6.923430813811543,10.712300548510497,5.474175591640784,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,1.853587000000001,0.5,24.0,15.0,172,6.923430813811549,6.395258234268504,10.712300548510493,10.140308985589463,10,10,157.3000030517578,0.0,157.3,10.800000000000011,10.800000000000011,高估
123266.SZ,博士转债,2026-04-07,2026-04-03,143.0,74.2688136707197,3.75,51.49504016,43.43292090008,AA,商贸零售,消费,3-10,50-300,AA/AA-,135.64561925566602,135.64561925566602,0.0,False,False,124.39026309873792,146.90097541259414,True,6.0,265.0,6.140449088502383,2026,<80,7.0,0.6504646543994571,0.7943338671565122,0.2857142857142857,家悦转债、国泰转债、共同转债、灵康转债、东宝转债、九强转债、太平转债,0.3922256833951483,-0.0575265903987182,0.6863156614549979,1.862052227682942,0.1428571428571428,-3.4188034188034067,-24.79201331114809,135.64561925566602,-7.35438074433398,False,0.65,0.45,7.9854413617993405,21.65438074433399,3.7555061494000497,139.40112540506607,0.9836279738573804,21.65438074433399,157.3,True,149.59857904222667,0.4452141819672398,142.87624731248786,157.3,0.000874876,293589200.0,0.7829045333333333,1.3217558399823195,7.041428395934792,-0.22002665164184,False,156.8920440673828,152.0963592529297,13.892044067382812,13.892044067382812,9.096359252929688,173,123,6.945838745822793,10.712809562527681,5.517475001885638,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,0.814108,0.5,24.0,15.0,173,6.945838745822798,6.420719169330535,10.712809562527678,10.144245502101533,11,11,156.8920440673828,0.0,156.8920440673828,13.892044067382812,13.892044067382812,高估
118068.SH,迪威转债,2026-06-30,2026-06-29,157.3,72.29916897506924,9.07705,54.8658906183,73.017071968828,AA-,机械设备,制造,3-10,50-300,AA/AA-,134.29776272567062,134.29776272567062,0.0,False,True,123.8407605635814,144.75476488775985,False,6.0,223.0,8.448123564079674,2026,<80,7.0,0.5996269324333799,0.2901659057917758,1.0,铭利转债、章鼓转债、天准转债、博实转债、耐普转02、万讯转债、泰瑞转债,0.4496750223594503,1.1544390093456036,6.747570826788008,-3.263107935113357,0.1428571428571428,-5.510860820595342,-13.987550347857924,134.29776272567062,-23.00223727432939,True,0.7,0.55,5.047024574459613,23.00223727432939,1.2096341022127834,135.5073968278834,0.980674997100194,23.00223727432939,157.3,True,155.41803415715202,0.4228767016302163,141.59309539718365,157.3,0.0016476348,765774000.0,0.8436375254074838,2.2057492499572136,6.408414473993943,-0.3109752813140352,True,139.92526245117188,142.74978637695312,-17.374737548828136,17.374737548828136,-14.550213623046886,181,125,6.763311471507034,10.539680357892822,5.601322068847656,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,1.419309999999999,0.5,24.0,15.0,181,6.7633114715070395,6.25580248435473,10.539680357892815,9.987229431086242,12,12,139.92526245117188,0.0,139.92526245117188,-17.374737548828136,17.374737548828136,低估
123272.SZ,中汽转债,2026-06-30,2026-06-29,157.3,85.14190317195325,10.3904,67.5189,48.991661279232,AA+,汽车,制造,10-20,50-300,AAA/AA+,141.71294724518918,141.71294724518918,0.0,False,True,130.45759108826107,152.9683034021173,False,6.0,223.0,8.448123564079674,2026,80-90,7.0,0.622825991283651,0.3690801449002825,1.0,麒麟转债、威唐转债、保隆转债、爱迪转债、博俊转债、爱玛转债、明新转债,1.0647522516065238,-0.7529420103606365,2.1746507139280045,-1.1392836193588385,0.1428571428571428,-3.2258064516129004,-12.671232876712336,141.71294724518918,-15.587052754810829,True,0.7,0.575,6.110123395548524,15.587052754810829,2.426762186880529,144.1397094320697,0.9817977184944912,15.587052754810829,157.3,True,155.70218510985464,0.4164763914592438,146.58167685879553,157.3,0.0018772866,873159500.0,0.8403521519864491,2.34088230292639,6.2779278425702625,-0.337255134302945,True,146.72601318359375,147.99166870117188,-10.573986816406261,10.573986816406261,-9.308331298828136,181,125,6.763311471507034,10.539680357892822,5.601322068847656,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,1.6588049999999994,0.5,24.0,15.0,181,6.7633114715070395,6.25580248435473,10.539680357892815,9.987229431086242,12,12,146.72601318359375,0.0,146.72601318359375,-10.573986816406261,10.573986816406261,低估
113705.SH,豪26转债,2026-07-10,2026-07-09,131.072,81.8435754189944,18.0,80.89338613529999,46.057410430105,AA-,汽车,制造,10-20,50-300,AA/AA-,142.17317397024982,142.17317397024982,0.0,False,False,127.3384967447454,157.00785119575423,True,6.0,214.0,9.20997873613109,2026,80-90,7.0,0.7687550688657926,0.6577239540517221,1.0,上声转债、明新转债、伯25转债、凯众转债、保隆转债、爱迪转债、上26转债,-0.2708998564686604,-0.046301532827634,0.7987206405119984,-0.3966492855381476,0.1428571428571428,-3.512623490669597,-16.603415559772294,142.17317397024982,11.101173970249818,False,0.65,0.65,7.270975954973153,15.126826029750193,2.714800128081597,144.88797409833143,0.787823695692475,15.126826029750193,157.3,True,157.14228229593888,0.4793066964429289,147.61096572923967,157.3,0.0042825351,1381008000.0,0.7672266666666666,2.8903717578961645,5.453210131652477,-0.0828205222578896,False,143.90728759765625,144.08514404296875,12.835287597656247,12.835287597656247,13.013144042968747,187,126,6.721334684810535,10.481180804382133,5.594815355573381,0.3,0.1,1.0,20,40,v2.1_极低筹码非线性修正,4.189920000000001,0.5,24.0,15.0,187,6.721334684810539,6.230109359517271,10.481180804382127,9.943786729630157,12,12,143.90728759765625,0.0,143.90728759765625,12.835287597656247,12.835287597656247,高估
