年份,n,mae,rmse,median_ae,bias,within_3,within_5,within_10,overprediction_share,underprediction_share
2023,13,4.83207497464694,6.286261296607238,4.513623046875011,-3.1229617027869643,0.38461538461538464,0.6153846153846154,0.9230769230769231,0.3076923076923077,0.6923076923076923
2024,48,9.20676353200277,14.670251724386429,4.177454925537113,-4.374836268107097,0.3541666666666667,0.5625,0.7083333333333334,0.5,0.5
2025,40,3.8223528182983415,5.384990618446316,2.7962873229980403,-2.094292289733889,0.55,0.8,0.925,0.3,0.7
2026,51,3.436644071691174,6.5294903778694025,0.02010803222657387,1.0319388930376754,0.6862745098039216,0.7450980392156863,0.8431372549019608,0.6666666666666666,0.3333333333333333
