年份,v2.0_n,v2.0_mae,v2.0_rmse,v2.0_bias,v2.0_within5,v2.0_within10,v2.0_under10,v2.0_over10,v2.0_noncap_n,v2.0_noncap_mae,v2.1_n,v2.1_mae,v2.1_rmse,v2.1_bias,v2.1_within5,v2.1_within10,v2.1_under10,v2.1_over10,v2.1_noncap_n,v2.1_noncap_mae
2023,13,4.83207497464694,6.286261296607238,-3.1229617027869643,0.6153846153846154,0.9230769230769231,1,0,8,3.1267151870727545,13,3.391189136408061,4.468253009090793,-1.6820758645480856,0.6153846153846154,0.9230769230769231,1,0,8,3.1267151870727545
2024,48,9.20676353200277,14.670251724386429,-4.374836268107097,0.5625,0.7083333333333334,11,3,40,5.559331295776368,48,7.994478278699124,12.608369803430444,-3.0230237782160683,0.6041666666666666,0.7291666666666666,9,4,40,5.555118226776256
2025,40,3.8223528182983415,5.384990618446316,-2.094292289733889,0.8,0.925,3,0,30,3.0577256123860663,40,3.1339101805172183,4.004382334646737,-1.4058498045406562,0.825,0.975,1,0,30,3.0577256123860663
2026,51,3.436644071691174,6.5294903778694025,1.0319388930376754,0.7450980392156863,0.8431372549019608,2,6,13,10.151485971304085,51,3.416771383846511,6.527947910602388,1.0518083496093729,0.7450980392156863,0.8431372549019608,2,6,13,10.151485267052285
