误差区间,样本数,占比
<-20,4,0.02631578947368421
-20~-10,13,0.08552631578947369
-10~-5,10,0.06578947368421052
-5~0,51,0.3355263157894737
0~5,54,0.35526315789473684
5~10,11,0.07236842105263158
10~20,8,0.05263157894736842
>20,1,0.006578947368421052
