logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window
0.3,1.0,0.25,20,20
0.3,1.0,0.25,20,40
0.3,1.0,0.25,20,60
0.3,1.0,0.3,20,0
0.3,1.0,0.3,20,20
0.3,1.0,0.3,20,40
0.3,1.0,0.3,20,60
0.3,1.0,0.35,20,0
0.3,1.0,0.35,20,20
0.3,1.0,0.35,20,40
0.3,1.0,0.35,20,60
0.3,1.0,0.4,20,0
0.3,1.0,0.4,20,20
0.3,1.0,0.4,20,40
0.3,1.0,0.4,20,60
0.3,1.0,0.45,20,0
0.3,1.0,0.45,20,20
0.3,1.0,0.45,20,40
0.3,1.0,0.45,20,60
0.3,1.0,0.5,20,0
0.3,1.0,0.5,20,20
0.3,1.0,0.5,20,40
0.3,1.0,0.5,20,60
0.3,1.0,0.55,20,0
0.3,1.0,0.55,20,20
0.3,1.0,0.55,20,40
0.3,1.0,0.55,20,60
0.3,1.0,0.6,20,0
0.3,1.0,0.6,20,20
0.3,1.0,0.6,20,40
0.3,1.0,0.6,20,60
0.3,1.0,0.65,20,0
0.3,1.0,0.65,20,20
0.3,1.0,0.65,20,40
0.3,1.0,0.65,20,60
0.3,1.0,0.69,20,0
0.3,1.0,0.69,20,20
0.3,1.0,0.69,20,40
0.3,1.0,0.69,20,60
0.3,1.0,0.7,20,0
0.3,1.0,0.7,20,20
0.3,1.0,0.7,20,40
0.3,1.0,0.7,20,60
0.3,1.0,0.75,20,0
0.3,1.0,0.75,20,20
0.3,1.0,0.75,20,40
0.3,1.0,0.75,20,60
0.3,1.0,0.8,20,0
0.3,1.0,0.8,20,20
0.3,1.0,0.8,20,40
0.3,1.0,0.8,20,60
0.3,1.0,0.85,20,0
0.3,1.0,0.85,20,20
0.3,1.0,0.85,20,40
0.3,1.0,0.85,20,60
0.3,1.0,0.9,20,0
0.3,1.0,0.9,20,20
0.3,1.0,0.9,20,40
0.3,1.0,0.9,20,60
0.3,1.0,0.95,20,0
0.3,1.0,0.95,20,20
0.3,1.0,0.95,20,40
0.3,1.0,0.95,20,60
0.3,1.0,1.0,20,0
0.3,1.0,1.0,20,20
0.3,1.0,1.0,20,40
0.3,1.0,1.0,20,60
0.3,3.0,0.0,20,0
0.3,3.0,0.0,20,20
0.3,3.0,0.0,20,40
0.3,3.0,0.0,20,60
0.3,3.0,0.05,20,0
0.3,3.0,0.05,20,20
0.3,3.0,0.05,20,40
0.3,3.0,0.05,20,60
0.3,3.0,0.1,20,0
0.3,3.0,0.1,20,20
0.3,3.0,0.1,20,40
0.3,3.0,0.1,20,60
0.3,3.0,0.15,20,0
0.3,3.0,0.15,20,20
0.3,3.0,0.15,20,40
0.3,3.0,0.15,20,60
0.3,3.0,0.2,20,0
0.3,3.0,0.2,20,20
0.3,3.0,0.2,20,40
0.3,3.0,0.2,20,60
0.3,3.0,0.25,20,0
0.3,3.0,0.25,20,20
0.3,3.0,0.25,20,40
0.3,3.0,0.25,20,60
0.3,3.0,0.3,20,0
0.3,3.0,0.3,20,20
0.3,3.0,0.3,20,40
0.3,3.0,0.3,20,60
0.3,3.0,0.35,20,0
0.3,3.0,0.35,20,20
0.3,3.0,0.35,20,40
0.3,3.0,0.35,20,60
0.3,3.0,0.4,20,0
0.3,3.0,0.4,20,20
0.3,3.0,0.4,20,40
0.3,3.0,0.4,20,60
0.3,3.0,0.45,20,0
0.3,3.0,0.45,20,20
0.3,3.0,0.45,20,40
0.3,3.0,0.45,20,60
0.3,3.0,0.5,20,0
0.3,3.0,0.5,20,20
0.3,3.0,0.5,20,40
0.3,3.0,0.5,20,60
0.3,3.0,0.55,20,0
0.3,3.0,0.55,20,20
0.3,3.0,0.55,20,40
0.3,3.0,0.55,20,60
0.3,3.0,0.6,20,0
0.3,3.0,0.6,20,20
0.3,3.0,0.6,20,40
0.3,3.0,0.6,20,60
0.3,3.0,0.65,20,0
0.3,3.0,0.65,20,20
0.3,3.0,0.65,20,40
0.3,3.0,0.65,20,60
0.3,3.0,0.69,20,0
0.3,3.0,0.69,20,20
0.3,3.0,0.69,20,40
0.3,3.0,0.69,20,60
0.3,3.0,0.7,20,0
0.3,3.0,0.7,20,20
0.3,3.0,0.7,20,40
0.3,3.0,0.7,20,60
0.3,3.0,0.75,20,0
0.3,3.0,0.75,20,20
0.3,3.0,0.75,20,40
0.3,3.0,0.75,20,60
0.3,3.0,0.8,20,0
0.3,3.0,0.8,20,20
0.3,3.0,0.8,20,40
0.3,3.0,0.8,20,60
0.3,3.0,0.85,20,0
0.3,3.0,0.85,20,20
0.3,3.0,0.85,20,40
0.3,3.0,0.85,20,60
0.3,3.0,0.9,20,0
0.3,3.0,0.9,20,20
0.3,3.0,0.9,20,40
0.3,3.0,0.9,20,60
0.3,3.0,0.95,20,0
0.3,3.0,0.95,20,20
0.3,3.0,0.95,20,40
0.3,3.0,0.95,20,60
0.3,3.0,1.0,20,0
0.3,3.0,1.0,20,20
0.3,3.0,1.0,20,40
0.3,3.0,1.0,20,60
0.3,10.0,0.0,20,0
0.3,10.0,0.0,20,20
0.3,10.0,0.0,20,40
0.3,10.0,0.0,20,60
0.3,10.0,0.05,20,0
0.3,10.0,0.05,20,20
0.3,10.0,0.05,20,40
0.3,10.0,0.05,20,60
0.3,10.0,0.1,20,0
0.3,10.0,0.1,20,20
0.3,10.0,0.1,20,40
0.3,10.0,0.1,20,60
0.3,10.0,0.15,20,0
0.3,10.0,0.15,20,20
0.3,10.0,0.15,20,40
0.3,10.0,0.15,20,60
0.3,10.0,0.2,20,0
0.3,10.0,0.2,20,20
0.3,10.0,0.2,20,40
0.3,10.0,0.2,20,60
0.3,10.0,0.25,20,0
0.3,10.0,0.25,20,20
0.3,10.0,0.25,20,40
0.3,10.0,0.25,20,60
0.3,10.0,0.3,20,0
0.3,10.0,0.3,20,20
0.3,10.0,0.3,20,40
0.3,10.0,0.3,20,60
0.3,10.0,0.35,20,0
0.3,10.0,0.35,20,20
0.3,10.0,0.35,20,40
0.3,10.0,0.35,20,60
0.3,10.0,0.4,20,0
0.3,10.0,0.4,20,20
0.3,10.0,0.4,20,40
0.3,10.0,0.4,20,60
0.3,10.0,0.45,20,0
0.3,10.0,0.45,20,20
0.3,10.0,0.45,20,40
0.3,10.0,0.45,20,60
0.3,10.0,0.5,20,0
0.3,10.0,0.5,20,20
0.3,10.0,0.5,20,40
0.3,10.0,0.5,20,60
0.3,10.0,0.55,20,0
0.3,10.0,0.55,20,20
0.3,10.0,0.55,20,40
0.3,10.0,0.55,20,60
0.3,10.0,0.6,20,0
0.3,10.0,0.6,20,20
0.3,10.0,0.6,20,40
