目标转债代码,目标转债名称,logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window,n,mae,rmse,bias,within5,within10,noncap_n,noncap_mae,是否入选
111026.SH,派克转债,0.3,0.1,0.0,0,0,178,6.682113488335675,9.570213255496473,-1.766385316100028,0.449438202247191,0.7921348314606742,111,5.90811127069028,False
111026.SH,派克转债,0.3,0.1,0.0,0,20,178,6.519095873256127,9.794097350376557,-2.347497194961961,0.5224719101123596,0.7752808988764045,111,5.709668438215786,False
111026.SH,派克转债,0.3,0.1,0.0,0,40,178,6.52110675765952,9.847306079232688,-2.573386324977975,0.5393258426966292,0.7865168539325843,111,5.5641324687472755,False
111026.SH,派克转债,0.3,0.1,0.0,0,60,178,6.651580478621305,9.881016408634846,-2.5285030961758,0.5224719101123596,0.7921348314606742,111,5.828009766160313,False
111026.SH,派克转债,0.3,0.1,0.05,0,0,178,6.59832912608966,9.501221711859076,-1.7378884597896214,0.4550561797752809,0.797752808988764,111,5.826745071500608,False
111026.SH,派克转债,0.3,0.1,0.05,0,20,178,6.448651904748433,9.729528398940491,-2.340482304332408,0.5393258426966292,0.7808988764044944,111,5.634755620353128,False
111026.SH,派克转债,0.3,0.1,0.05,0,40,178,6.440614939213117,9.766198996353305,-2.523966402598282,0.5393258426966292,0.797752808988764,111,5.498711478925522,False
111026.SH,派克转债,0.3,0.1,0.05,0,60,178,6.565990095013523,9.802339688236891,-2.501740055357229,0.5393258426966292,0.8033707865168539,111,5.737801050599871,False
111026.SH,派克转债,0.3,0.1,0.1,0,0,178,6.519341204710969,9.437853020222036,-1.7093916034792036,0.449438202247191,0.8089887640449438,111,5.7530704621702515,False
111026.SH,派克转债,0.3,0.1,0.1,0,20,178,6.372088436082841,9.660526495284909,-2.3231644281492354,0.5449438202247191,0.7921348314606742,111,5.555964987790799,False
111026.SH,派克转债,0.3,0.1,0.1,0,40,178,6.3634795909224104,9.699476113412716,-2.4936455800933786,0.5393258426966292,0.797752808988764,111,5.427925886366447,False
111026.SH,派克转债,0.3,0.1,0.1,0,60,178,6.484464896685166,9.737124897824568,-2.4743823423215536,0.5561797752808989,0.8033707865168539,111,5.655453330281795,False
111026.SH,派克转债,0.3,0.1,0.15,0,0,178,6.441752087072476,9.380221137900545,-1.6808947471687987,0.4550561797752809,0.8314606741573034,111,5.681638979558405,False
